year,yearcode,countryname,countrycode,percent_ages0to14,percent_ages15to64
2000,YR2000,Afghanistan,AFG,49.7182582,47.99693445
2000,YR2000,Albania,ALB,29.54387,62.63416593
2000,YR2000,Algeria,DZA,33.83718682,61.9191671
2000,YR2000,American Samoa,ASM,40.15404563,56.66629458
2000,YR2000,Andorra,AND,15.27743107,72.00499262
2000,YR2000,Angola,AGO,46.44227892,51.13117176
2000,YR2000,Antigua and Barbuda,ATG,27.79628273,64.9450403
2000,YR2000,Argentina,ARG,28.18021318,62.07788192
2000,YR2000,Armenia,ARM,26.90541825,64.01554225
2000,YR2000,Aruba,ABW,23.25563125,69.82525449
2000,YR2000,Australia,AUS,20.73719988,66.89425413
2000,YR2000,Austria,AUT,17.04633529,67.54063157
2000,YR2000,Azerbaijan,AZE,30.99373078,63.48738153
2000,YR2000,"Bahamas, The",BHS,29.89271231,65.09027303
2000,YR2000,Bahrain,BHR,29.27385507,68.26269745
2000,YR2000,Bangladesh,BGD,37.30871139,58.93036449
2000,YR2000,Barbados,BRB,21.88228537,66.91377897
2000,YR2000,Belarus,BLR,18.51676732,67.60761304
2000,YR2000,Belgium,BEL,17.60797148,65.59024604
2000,YR2000,Belize,BLZ,39.92787202,56.12879878
2000,YR2000,Benin,BEN,45.17853828,51.53967771
2000,YR2000,Bermuda,BMU,18.91039742,70.45917453
2000,YR2000,Bhutan,BTN,38.08886815,57.94574997
2000,YR2000,Bolivia,BOL,38.45071885,56.45644374
2000,YR2000,Bosnia and Herzegovina,BIH,19.62440332,69.03018412
2000,YR2000,Botswana,BWA,39.06320526,57.68719986
2000,YR2000,Brazil,BRA,29.83401451,64.66220242
2000,YR2000,British Virgin Islands,VGB,26.18698237,69.03524262
2000,YR2000,Brunei Darussalam,BRN,33.16508274,63.9706642
2000,YR2000,Bulgaria,BGR,15.6267067,67.58231652
2000,YR2000,Burkina Faso,BFA,46.57449435,50.48792432
2000,YR2000,Burundi,BDI,48.19860679,49.37048362
2000,YR2000,Cabo Verde,CPV,42.21900225,53.07844391
2000,YR2000,Cambodia,KHM,40.18342183,56.75378528
2000,YR2000,Cameroon,CMR,45.2421545,51.43773244
2000,YR2000,Canada,CAN,19.18038021,68.33185791
2000,YR2000,Cayman Islands,CYM,19.65908948,74.81624368
2000,YR2000,Central African Republic,CAF,45.74060231,52.14494157
2000,YR2000,Chad,TCD,48.77628256,48.41862413
2000,YR2000,Channel Islands,CHI,17.13722373,68.39336162
2000,YR2000,Chile,CHL,26.81256532,65.20433746
2000,YR2000,China,CHN,24.53389834,68.54547244
2000,YR2000,Colombia,COL,32.66404116,62.75518671
2000,YR2000,Comoros,COM,45.83997429,50.27186392
2000,YR2000,"Congo, Dem. Rep.",COD,46.12318226,50.92593501
2000,YR2000,"Congo, Rep.",COG,42.71559302,54.24254075
2000,YR2000,Costa Rica,CRI,30.87316082,63.27194525
2000,YR2000,Cote d'Ivoire,CIV,44.9692107,52.42958344
2000,YR2000,Croatia,HRV,17.19813896,67.1425484
2000,YR2000,Cuba,CUB,21.21413054,68.89076159
2000,YR2000,Curacao,CUW,25.83967361,64.83128748
2000,YR2000,Cyprus,CYP,22.25718768,67.80358296
2000,YR2000,Czechia,CZE,16.46533219,69.79361408
2000,YR2000,Denmark,DNK,18.47433508,66.68726027
2000,YR2000,Djibouti,DJI,39.40797741,57.38677214
2000,YR2000,Dominica,DMA,30.00687677,60.1366576
2000,YR2000,Dominican Republic,DOM,35.03533016,60.21837672
2000,YR2000,Ecuador,ECU,35.45410065,59.72211475
2000,YR2000,"Egypt, Arab Rep.",EGY,37.03207735,58.49202085
2000,YR2000,El Salvador,SLV,37.15285202,57.97338148
2000,YR2000,Equatorial Guinea,GNQ,42.73800434,54.12787583
2000,YR2000,Eritrea,ERI,44.99246619,51.90520459
2000,YR2000,Estonia,EST,17.63448666,67.38229901
2000,YR2000,Eswatini,SWZ,44.17040718,53.48019134
2000,YR2000,Ethiopia,ETH,47.56828161,49.79740644
2000,YR2000,Faroe Islands,FRO,23.75847305,62.67041908
2000,YR2000,Fiji,FJI,34.67724354,62.12843472
2000,YR2000,Finland,FIN,18.1527929,66.92835432
2000,YR2000,France,FRA,18.71527354,65.12960277
2000,YR2000,French Polynesia,PYF,32.04139052,64.09872194
2000,YR2000,Gabon,GAB,40.93164259,54.22938101
2000,YR2000,"Gambia, The",GMB,45.81966124,50.6182441
2000,YR2000,Georgia,GEO,23.32080629,64.76156178
2000,YR2000,Germany,DEU,15.60780902,67.95991393
2000,YR2000,Ghana,GHA,42.27946991,54.52694521
2000,YR2000,Gibraltar,GIB,19.06890399,65.76428816
2000,YR2000,Greece,GRC,14.79003786,68.30988895
2000,YR2000,Greenland,GRL,26.88487826,68.07899046
2000,YR2000,Grenada,GRD,33.27267481,58.35691414
2000,YR2000,Guam,GUM,30.21802575,64.60741319
2000,YR2000,Guatemala,GTM,43.58938058,52.572058
2000,YR2000,Guinea,GIN,45.06869824,50.92140223
2000,YR2000,Guinea-Bissau,GNB,44.62529522,51.77913781
2000,YR2000,Guyana,GUY,36.53278897,59.67299957
2000,YR2000,Haiti,HTI,40.36567439,55.93038201
2000,YR2000,Honduras,HND,42.79260447,54.20837574
2000,YR2000,"Hong Kong SAR, China",HKG,17.05747642,71.77424662
2000,YR2000,Hungary,HUN,16.82028278,68.17740151
2000,YR2000,Iceland,ISL,23.28751306,65.15089071
2000,YR2000,India,IND,35.04980991,60.45650703
2000,YR2000,Indonesia,IDN,30.61207513,64.37663831
2000,YR2000,"Iran, Islamic Rep.",IRN,33.08798279,62.80069081
2000,YR2000,Iraq,IRQ,43.43303291,53.39239237
2000,YR2000,Ireland,IRL,21.72610121,67.10577653
2000,YR2000,Isle of Man,IMN,17.92435351,65.17032371
2000,YR2000,Israel,ISR,28.0668839,61.95325356
2000,YR2000,Italy,ITA,14.27731585,67.41665383
2000,YR2000,Jamaica,JAM,33.40706415,60.70505569
2000,YR2000,Japan,JPN,14.37248311,67.82262845
2000,YR2000,Jordan,JOR,40.33229474,56.95784006
2000,YR2000,Kazakhstan,KAZ,27.95470868,65.47588063
2000,YR2000,Kenya,KEN,45.84886764,51.94431369
2000,YR2000,Kiribati,KIR,40.52833927,56.22484534
2000,YR2000,"Korea, Dem. People's Rep.",PRK,25.58977735,68.04522409
