year,year_code,country_name,country_code,prop_urban
2016,YR2016,Afghanistan,AFG,25.02
2016,YR2016,Albania,ALB,58.421
2016,YR2016,Algeria,DZA,71.459
2016,YR2016,American Samoa,ASM,87.198
2016,YR2016,Andorra,AND,88.248
2016,YR2016,Angola,AGO,64.149
2016,YR2016,Antigua and Barbuda,ATG,24.846
2016,YR2016,Argentina,ARG,91.627
2016,YR2016,Armenia,ARM,63.082
2016,YR2016,Aruba,ABW,43.192
2016,YR2016,Australia,AUS,85.8
2016,YR2016,Austria,AUT,57.905
2016,YR2016,Azerbaijan,AZE,55.021
2016,YR2016,"Bahamas, The",BHS,82.832
2016,YR2016,Bahrain,BHR,89.09
2016,YR2016,Bangladesh,BGD,35.083
2016,YR2016,Barbados,BRB,31.193
2016,YR2016,Belarus,BLR,77.661
2016,YR2016,Belgium,BEL,97.919
2016,YR2016,Belize,BLZ,45.495
2016,YR2016,Benin,BEN,46.229
2016,YR2016,Bermuda,BMU,100
2016,YR2016,Bhutan,BTN,39.428
2016,YR2016,Bolivia,BOL,68.738
2016,YR2016,Bosnia and Herzegovina,BIH,47.518
2016,YR2016,Botswana,BWA,67.933
2016,YR2016,Brazil,BRA,86.042
2016,YR2016,British Virgin Islands,VGB,46.957
2016,YR2016,Brunei Darussalam,BRN,76.99
2016,YR2016,Bulgaria,BGR,74.329
2016,YR2016,Burkina Faso,BFA,28.134
2016,YR2016,Burundi,BDI,12.388
2016,YR2016,Cabo Verde,CPV,64.784
2016,YR2016,Cambodia,KHM,22.582
2016,YR2016,Cameroon,CMR,55.179
2016,YR2016,Canada,CAN,81.3
2016,YR2016,Cayman Islands,CYM,100
2016,YR2016,Central African Republic,CAF,40.618
2016,YR2016,Chad,TCD,22.677
2016,YR2016,Channel Islands,CHI,30.93
2016,YR2016,Chile,CHL,87.422
2016,YR2016,China,CHN,56.736
2016,YR2016,Colombia,COL,80.108
2016,YR2016,Comoros,COM,28.619
2016,YR2016,"Congo, Dem. Rep.",COD,43.307
2016,YR2016,"Congo, Rep.",COG,66.001
2016,YR2016,Costa Rica,CRI,77.735
2016,YR2016,Cote d'Ivoire,CIV,49.881
2016,YR2016,Croatia,HRV,56.403
2016,YR2016,Cuba,CUB,76.93
2016,YR2016,Curacao,CUW,89.272
2016,YR2016,Cyprus,CYP,66.881
2016,YR2016,Czechia,CZE,73.57
2016,YR2016,Denmark,DNK,87.642
2016,YR2016,Djibouti,DJI,77.528
2016,YR2016,Dominica,DMA,69.88
2016,YR2016,Dominican Republic,DOM,79.436
2016,YR2016,Ecuador,ECU,63.534
2016,YR2016,"Egypt, Arab Rep.",EGY,42.732
2016,YR2016,El Salvador,SLV,70.501
2016,YR2016,Equatorial Guinea,GNQ,71.138
2016,YR2016,Eritrea,ERI,38.827
2016,YR2016,Estonia,EST,68.563
2016,YR2016,Eswatini,SWZ,23.459
2016,YR2016,Ethiopia,ETH,19.866
2016,YR2016,Faroe Islands,FRO,41.777
2016,YR2016,Fiji,FJI,55.235
2016,YR2016,Finland,FIN,85.275
2016,YR2016,France,FRA,79.917
2016,YR2016,French Polynesia,PYF,61.734
2016,YR2016,Gabon,GAB,88.559
2016,YR2016,"Gambia, The",GMB,59.918
2016,YR2016,Georgia,GEO,57.837
2016,YR2016,Germany,DEU,77.224
2016,YR2016,Ghana,GHA,54.749
2016,YR2016,Gibraltar,GIB,100
2016,YR2016,Greece,GRC,78.387
2016,YR2016,Greenland,GRL,86.326
2016,YR2016,Grenada,GRD,36.072
2016,YR2016,Guam,GUM,94.617
2016,YR2016,Guatemala,GTM,50.319
2016,YR2016,Guinea,GIN,35.46
2016,YR2016,Guinea-Bissau,GNB,42.533
2016,YR2016,Guyana,GUY,26.482
2016,YR2016,Haiti,HTI,53.396
2016,YR2016,Honduras,HND,55.813
2016,YR2016,"Hong Kong SAR, China",HKG,100
2016,YR2016,Hungary,HUN,70.779
2016,YR2016,Iceland,ISL,93.735
2016,YR2016,India,IND,33.182
2016,YR2016,Indonesia,IDN,53.989
2016,YR2016,"Iran, Islamic Rep.",IRN,73.88
2016,YR2016,Iraq,IRQ,70.094
2016,YR2016,Ireland,IRL,62.737
2016,YR2016,Isle of Man,IMN,52.343
2016,YR2016,Israel,ISR,92.256
2016,YR2016,Italy,ITA,69.855
2016,YR2016,Jamaica,JAM,55.098
2016,YR2016,Japan,JPN,91.457
2016,YR2016,Jordan,JOR,90.506
2016,YR2016,Kazakhstan,KAZ,57.264
2016,YR2016,Kenya,KEN,26.105
2016,YR2016,Kiribati,KIR,52.45
2016,YR2016,"Korea, Dem. People's Rep.",PRK,61.471
2016,YR2016,"Korea, Rep.",KOR,81.562
2016,YR2016,Kosovo,XKX
2016,YR2016,Kuwait,KWT,100
2016,YR2016,Kyrgyz Republic,KGZ,35.944
2016,YR2016,Lao PDR,LAO,33.736
2016,YR2016,Latvia,LVA,68.021
2016,YR2016,Lebanon,LBN,88.266
2016,YR2016,Lesotho,LSO,27.317
2016,YR2016,Liberia,LBR,50.254
2016,YR2016,Libya,LBY,79.54
2016,YR2016,Liechtenstein,LIE,14.303
2016,YR2016,Lithuania,LTU,67.366
2016,YR2016,Luxembourg,LUX,90.46
2016,YR2016,"Macao SAR, China",MAC,100
2016,YR2016,Madagascar,MDG,35.856
2016,YR2016,Malawi,MWI,16.506
2016,YR2016,Malaysia,MYS,74.84
2016,YR2016,Maldives,MDV,38.954
2016,YR2016,Mali,MLI,40.783
2016,YR2016,Malta,MLT,94.48
2016,YR2016,Marshall Islands,MHL,76.228
2016,YR2016,Mauritania,MRT,51.962
2016,YR2016,Mauritius,MUS,40.91
2016,YR2016,Mexico,MEX,79.577
2016,YR2016,"Micronesia, Fed. Sts.",FSM,22.526
2016,YR2016,Moldova,MDA,42.511
2016,YR2016,Monaco,MCO,100
2016,YR2016,Mongolia,MNG,68.297
2016,YR2016,Montenegro,MNE,66.141
2016,YR2016,Morocco,MAR,61.36
2016,YR2016,Mozambique,MOZ,34.926
2016,YR2016,Myanmar,MMR,30.082
2016,YR2016,Namibia,NAM,47.961
2016,YR2016,Nauru,NRU,100
2016,YR2016,Nepal,NPL,18.942
2016,YR2016,Netherlands,NLD,90.635
2016,YR2016,New Caledonia,NCL,69.821
2016,YR2016,New Zealand,NZL,86.4
2016,YR2016,Nicaragua,NIC,58.09
2016,YR2016,Niger,NER,16.29
2016,YR2016,Nigeria,NGA,48.683
2016,YR2016,North Macedonia,MKD,57.563
2016,YR2016,Northern Mariana Islands,MNP,91.443
2016,YR2016,Norway,NOR,81.485
2016,YR2016,Oman,OMN,82.5
2016,YR2016,Pakistan,PAK,36.234
2016,YR2016,Palau,PLW,78.775
2016,YR2016,Panama,PAN,67.027
2016,YR2016,Papua New Guinea,PNG,13.05
2016,YR2016,Paraguay,PRY,61.026
2016,YR2016,Peru,PER,77.539
2016,YR2016,Philippines,PHL,46.475
2016,YR2016,Poland,POL,60.178
2016,YR2016,Portugal,PRT,64.086
2016,YR2016,Puerto Rico,PRI,93.602
2016,YR2016,Qatar,QAT,99.015
2016,YR2016,Romania,ROU,53.9
2016,YR2016,Russian Federation,RUS,74.164
2016,YR2016,Rwanda,RWA,17.056
2016,YR2016,Samoa,WSM,18.681
2016,YR2016,San Marino,SMR,96.91
2016,YR2016,Sao Tome and Principe,STP,71.092
2016,YR2016,Saudi Arabia,SAU,83.401
2016,YR2016,Senegal,SEN,46.296
2016,YR2016,Serbia,SRB,55.81
2016,YR2016,Seychelles,SYC,55.831
2016,YR2016,Sierra Leone,SLE,41.228
2016,YR2016,Singapore,SGP,100
2016,YR2016,Sint Maarten (Dutch part),SXM,100
2016,YR2016,Slovak Republic,SVK,53.806
2016,YR2016,Slovenia,SVN,54.02
2016,YR2016,Solomon Islands,SLB,22.823
2016,YR2016,Somalia,SOM,43.816
2016,YR2016,South Africa,ZAF,65.341
2016,YR2016,South Sudan,SSD,19.092
2016,YR2016,Spain,ESP,79.84
2016,YR2016,Sri Lanka,LKA,18.311
2016,YR2016,St. Kitts and Nevis,KNA,30.79
2016,YR2016,St. Lucia,LCA,18.558
2016,YR2016,St. Martin (French part),MAF
2016,YR2016,St. Vincent and the Grenadines,VCT,51.373
2016,YR2016,Sudan,SDN,34.121
2016,YR2016,Suriname,SUR,66.04
2016,YR2016,Sweden,SWE,86.852
2016,YR2016,Switzerland,CHE,73.739
