date_string,usd_to_rmb,usd_to_jpy
"1981, Friday, Jan 02",1.5341,202.5
"1981, Monday, Jan 05",1.5418,199.05
"1981, Tuesday, Jan 06",1.5264,199.7
"1981, Wednesday, Jan 07",1.5264,201.05
"1981, Thursday, Jan 08",1.5264,201.7
"1981, Friday, Jan 09",1.5371,203.0
"1981, Monday, Jan 12",1.5371,204.1
"1981, Tuesday, Jan 13",1.5449,203.3
"1981, Wednesday, Jan 14",1.5449,203.05
"1981, Thursday, Jan 15",1.5449,201.75
"1981, Friday, Jan 16",1.5557,202.9
"1981, Monday, Jan 19",1.5557,202.3
"1981, Tuesday, Jan 20",1.5557,200.65
"1981, Wednesday, Jan 21",1.5557,199.2
"1981, Thursday, Jan 22",1.551,200.85
"1981, Friday, Jan 23",1.551,202.75
"1981, Monday, Jan 26",1.5634,203.55
"1981, Tuesday, Jan 27",1.5759,202.5
"1981, Wednesday, Jan 28",1.5822,204.5
"1981, Thursday, Jan 29",1.5886,204.6
"1981, Friday, Jan 30",1.5886,206.7
"1981, Monday, Feb 02",1.6108,203.15
"1981, Tuesday, Feb 03",1.6108,204.05
"1981, Wednesday, Feb 04",1.6028,202.9
"1981, Thursday, Feb 05",1.6028,202.95
"1981, Friday, Feb 06",1.6028,203.8
"1981, Monday, Feb 09",1.6059,203.9
"1981, Tuesday, Feb 10",1.6059,203.9
"1981, Wednesday, Feb 11",1.6059,203.9
"1981, Thursday, Feb 12",,
"1981, Friday, Feb 13",1.6285,207.45
"1981, Monday, Feb 16",,
"1981, Tuesday, Feb 17",1.6579,206.8
"1981, Wednesday, Feb 18",1.6298,206.55
"1981, Thursday, Feb 19",1.6298,206.8
"1981, Friday, Feb 20",1.6021,206.8
"1981, Monday, Feb 23",1.5909,208.05
"1981, Tuesday, Feb 24",1.6099,207.0
"1981, Wednesday, Feb 25",1.6035,207.3
"1981, Thursday, Feb 26",1.6179,207.9
"1981, Friday, Feb 27",1.6179,209.7
"1981, Monday, Mar 02",1.6293,211.1
"1981, Tuesday, Mar 03",1.6456,208.6
"1981, Wednesday, Mar 04",1.6374,208.6
"1981, Thursday, Mar 05",1.6456,208.9
"1981, Friday, Mar 06",1.6456,209.0
"1981, Monday, Mar 09",1.6456,206.0
"1981, Tuesday, Mar 10",1.6407,207.0
"1981, Wednesday, Mar 11",1.6407,207.6
"1981, Thursday, Mar 12",1.6407,207.6
"1981, Friday, Mar 13",1.6407,207.55
"1981, Monday, Mar 16",1.6402,207.27
"1981, Tuesday, Mar 17",1.6309,207.7
"1981, Wednesday, Mar 18",1.6227,207.6
"1981, Thursday, Mar 19",1.6049,208.75
"1981, Friday, Mar 20",1.6129,208.25
"1981, Monday, Mar 23",1.6129,208.6
"1981, Tuesday, Mar 24",1.6209,208.55
"1981, Wednesday, Mar 25",1.6209,208.85
"1981, Thursday, Mar 26",1.6209,211.45
"1981, Friday, Mar 27",1.6372,211.8
"1981, Monday, Mar 30",1.6372,211.4
"1981, Tuesday, Mar 31",1.6165,211.25
"1981, Wednesday, Apr 01",1.6337,212.4
"1981, Thursday, Apr 02",1.6337,213.8
"1981, Friday, Apr 03",1.6418,213.2
"1981, Monday, Apr 06",1.65,214.0
"1981, Tuesday, Apr 07",1.6599,213.1
"1981, Wednesday, Apr 08",1.6483,213.45
"1981, Thursday, Apr 09",1.6483,214.1
"1981, Friday, Apr 10",1.6565,215.17
"1981, Monday, Apr 13",1.6565,216.25
"1981, Tuesday, Apr 14",1.6682,215.22
"1981, Wednesday, Apr 15",1.6682,216.7
"1981, Thursday, Apr 16",1.6798,216.8
"1981, Friday, Apr 17",1.6798,217.5
"1981, Monday, Apr 20",1.6798,218.2
"1981, Tuesday, Apr 21",1.6798,218.35
"1981, Wednesday, Apr 22",1.6798,216.85
"1981, Thursday, Apr 23",1.6798,215.2
"1981, Friday, Apr 24",1.6798,214.3
"1981, Monday, Apr 27",1.6798,212.1
"1981, Tuesday, Apr 28",1.6798,212.3
"1981, Wednesday, Apr 29",1.6798,214.7
"1981, Thursday, Apr 30",1.6882,215.78
"1981, Friday, May 01",1.6882,215.75
"1981, Monday, May 04",1.6882,217.1
"1981, Tuesday, May 05",1.7085,217.8
"1981, Wednesday, May 06",1.717,216.9
"1981, Thursday, May 07",1.717,217.9
"1981, Friday, May 08",1.717,217.6
"1981, Monday, May 11",1.717,217.95
"1981, Tuesday, May 12",1.7273,219.75
"1981, Wednesday, May 13",1.7273,220.45
"1981, Thursday, May 14",1.7359,222.35
"1981, Friday, May 15",1.7359,223.05
"1981, Monday, May 18",1.7359,221.97
"1981, Tuesday, May 19",1.7359,221.0
"1981, Wednesday, May 20",1.7359,220.8
"1981, Thursday, May 21",1.7272,222.5
"1981, Friday, May 22",1.7429,222.5
"1981, Monday, May 25",,
"1981, Tuesday, May 26",1.7392,224.35
"1981, Wednesday, May 27",1.748,224.95
"1981, Thursday, May 28",1.748,224.0
"1981, Friday, May 29",1.748,223.9
"1981, Monday, Jun 01",1.748,222.5
"1981, Tuesday, Jun 02",1.7567,223.85
"1981, Wednesday, Jun 03",1.7567,223.4
"1981, Thursday, Jun 04",1.7672,226.4
"1981, Friday, Jun 05",1.7813,227.8
"1981, Monday, Jun 08",1.7813,227.9
"1981, Tuesday, Jun 09",1.7813,228.1
"1981, Wednesday, Jun 10",1.7742,225.45
"1981, Thursday, Jun 11",1.7813,226.1
"1981, Friday, Jun 12",1.7724,224.15
"1981, Monday, Jun 15",1.7512,219.7
"1981, Tuesday, Jun 16",1.7512,220.15
"1981, Wednesday, Jun 17",1.7512,220.9
"1981, Thursday, Jun 18",1.7599,222.1
"1981, Friday, Jun 19",1.7599,223.35
"1981, Monday, Jun 22",1.7511,222.52
