date_str,sp500,djia,date_ex1,date_ex2,date_ex3
4/4/2018,2644.69,24264.3,April 04 2018,"Wednesday, 2018-04-04",4-Apr-18
4/5/2018,2662.84,24505.22,April 05 2018,"Thursday, 2018-04-05",5-Apr-18
4/6/2018,2604.47,23932.76,April 06 2018,"Friday, 2018-04-06",6-Apr-18
4/9/2018,2613.16,23979.1,April 09 2018,"Monday, 2018-04-09",9-Apr-18
4/10/2018,2656.87,24408,April 10 2018,"Tuesday, 2018-04-10",10-Apr-18
4/11/2018,2642.19,24189.45,April 11 2018,"Wednesday, 2018-04-11",11-Apr-18
4/12/2018,2663.99,24483.05,April 12 2018,"Thursday, 2018-04-12",12-Apr-18
4/13/2018,2656.3,24360.14,April 13 2018,"Friday, 2018-04-13",13-Apr-18
4/16/2018,2677.84,24573.04,April 16 2018,"Monday, 2018-04-16",16-Apr-18
4/17/2018,2706.39,24786.63,April 17 2018,"Tuesday, 2018-04-17",17-Apr-18
4/18/2018,2708.64,24748.07,April 18 2018,"Wednesday, 2018-04-18",18-Apr-18
4/19/2018,2693.13,24664.89,April 19 2018,"Thursday, 2018-04-19",19-Apr-18
4/20/2018,2670.14,24462.94,April 20 2018,"Friday, 2018-04-20",20-Apr-18
4/23/2018,2670.29,24448.69,April 23 2018,"Monday, 2018-04-23",23-Apr-18
4/24/2018,2634.56,24024.13,April 24 2018,"Tuesday, 2018-04-24",24-Apr-18
4/25/2018,2639.4,24083.83,April 25 2018,"Wednesday, 2018-04-25",25-Apr-18
4/26/2018,2666.94,24322.34,April 26 2018,"Thursday, 2018-04-26",26-Apr-18
4/27/2018,2669.91,24311.19,April 27 2018,"Friday, 2018-04-27",27-Apr-18
4/30/2018,2648.05,24163.15,April 30 2018,"Monday, 2018-04-30",30-Apr-18
5/1/2018,2654.8,24099.05,May 01 2018,"Tuesday, 2018-05-01",1-May-18
5/2/2018,2635.67,23924.98,May 02 2018,"Wednesday, 2018-05-02",2-May-18
5/3/2018,2629.73,23930.15,May 03 2018,"Thursday, 2018-05-03",3-May-18
5/4/2018,2663.42,24262.51,May 04 2018,"Friday, 2018-05-04",4-May-18
5/7/2018,2672.63,24357.32,May 07 2018,"Monday, 2018-05-07",7-May-18
5/8/2018,2671.92,24360.21,May 08 2018,"Tuesday, 2018-05-08",8-May-18
5/9/2018,2697.79,24542.54,May 09 2018,"Wednesday, 2018-05-09",9-May-18
5/10/2018,2723.07,24739.53,May 10 2018,"Thursday, 2018-05-10",10-May-18
5/11/2018,2727.72,24831.17,May 11 2018,"Friday, 2018-05-11",11-May-18
5/14/2018,2730.13,24899.41,May 14 2018,"Monday, 2018-05-14",14-May-18
5/15/2018,2711.45,24706.41,May 15 2018,"Tuesday, 2018-05-15",15-May-18
5/16/2018,2722.46,24768.93,May 16 2018,"Wednesday, 2018-05-16",16-May-18
5/17/2018,2720.13,24713.98,May 17 2018,"Thursday, 2018-05-17",17-May-18
5/18/2018,2712.97,24715.09,May 18 2018,"Friday, 2018-05-18",18-May-18
5/21/2018,2733.01,25013.29,May 21 2018,"Monday, 2018-05-21",21-May-18
5/22/2018,2724.44,24834.41,May 22 2018,"Tuesday, 2018-05-22",22-May-18
5/23/2018,2733.29,24886.81,May 23 2018,"Wednesday, 2018-05-23",23-May-18
5/24/2018,2727.76,24811.76,May 24 2018,"Thursday, 2018-05-24",24-May-18
5/25/2018,2721.33,24753.09,May 25 2018,"Friday, 2018-05-25",25-May-18
5/28/2018,,,May 28 2018,"Monday, 2018-05-28",28-May-18
5/29/2018,2689.86,24361.45,May 29 2018,"Tuesday, 2018-05-29",29-May-18
5/30/2018,2724.01,24667.78,May 30 2018,"Wednesday, 2018-05-30",30-May-18
5/31/2018,2705.27,24415.84,May 31 2018,"Thursday, 2018-05-31",31-May-18
6/1/2018,2734.62,24635.21,June 01 2018,"Friday, 2018-06-01",1-Jun-18
6/4/2018,2746.87,24813.69,June 04 2018,"Monday, 2018-06-04",4-Jun-18
6/5/2018,2748.8,24799.98,June 05 2018,"Tuesday, 2018-06-05",5-Jun-18
6/6/2018,2772.35,25146.39,June 06 2018,"Wednesday, 2018-06-06",6-Jun-18
6/7/2018,2770.37,25241.41,June 07 2018,"Thursday, 2018-06-07",7-Jun-18
6/8/2018,2779.03,25316.53,June 08 2018,"Friday, 2018-06-08",8-Jun-18
6/11/2018,2782,25322.31,June 11 2018,"Monday, 2018-06-11",11-Jun-18
6/12/2018,2786.85,25320.73,June 12 2018,"Tuesday, 2018-06-12",12-Jun-18
6/13/2018,2775.63,25201.2,June 13 2018,"Wednesday, 2018-06-13",13-Jun-18
6/14/2018,2782.49,25175.31,June 14 2018,"Thursday, 2018-06-14",14-Jun-18
6/15/2018,2779.66,25090.48,June 15 2018,"Friday, 2018-06-15",15-Jun-18
6/18/2018,2773.75,24987.47,June 18 2018,"Monday, 2018-06-18",18-Jun-18
6/19/2018,2762.59,24700.21,June 19 2018,"Tuesday, 2018-06-19",19-Jun-18
6/20/2018,2767.32,24657.8,June 20 2018,"Wednesday, 2018-06-20",20-Jun-18
6/21/2018,2749.76,24461.7,June 21 2018,"Thursday, 2018-06-21",21-Jun-18
6/22/2018,2754.88,24580.89,June 22 2018,"Friday, 2018-06-22",22-Jun-18
6/25/2018,2717.07,24252.8,June 25 2018,"Monday, 2018-06-25",25-Jun-18
6/26/2018,2723.06,24283.11,June 26 2018,"Tuesday, 2018-06-26",26-Jun-18
6/27/2018,2699.63,24117.59,June 27 2018,"Wednesday, 2018-06-27",27-Jun-18
6/28/2018,2716.31,24216.05,June 28 2018,"Thursday, 2018-06-28",28-Jun-18
6/29/2018,2718.37,24271.41,June 29 2018,"Friday, 2018-06-29",29-Jun-18
