date_str,sp500,djia,date_ex1,date_ex2,date_ex3,date,diff_sp500,lag_sp500,growth_sp500,diff_date,count_days,diff_djia,lag_djia,growth_djia
4/4/2018,2644.69,24264.3,April 04 2018,"Wednesday, 2018-04-04",4-Apr-18,4/4/2018,,,,,,,,
4/5/2018,2662.84,24505.22,April 05 2018,"Thursday, 2018-04-05",5-Apr-18,4/5/2018,18.15,2644.69,0.686280812,1 days,1,240.92,24264.3,0.992899033
4/6/2018,2604.47,23932.76,April 06 2018,"Friday, 2018-04-06",6-Apr-18,4/6/2018,-58.37,2662.84,-2.192020549,1 days,1,-572.46,24505.22,-2.336073702
4/9/2018,2613.16,23979.1,April 09 2018,"Monday, 2018-04-09",9-Apr-18,4/9/2018,8.69,2604.47,0.333657136,3 days,3,46.34,23932.76,0.193625808
4/10/2018,2656.87,24408,April 10 2018,"Tuesday, 2018-04-10",10-Apr-18,4/10/2018,43.71,2613.16,1.672687474,1 days,1,428.9,23979.1,1.788640941
4/11/2018,2642.19,24189.45,April 11 2018,"Wednesday, 2018-04-11",11-Apr-18,4/11/2018,-14.68,2656.87,-0.552529857,1 days,1,-218.55,24408,-0.895403147
4/12/2018,2663.99,24483.05,April 12 2018,"Thursday, 2018-04-12",12-Apr-18,4/12/2018,21.8,2642.19,0.82507314,1 days,1,293.6,24189.45,1.213752276
4/13/2018,2656.3,24360.14,April 13 2018,"Friday, 2018-04-13",13-Apr-18,4/13/2018,-7.69,2663.99,-0.288664747,1 days,1,-122.91,24483.05,-0.502020786
4/16/2018,2677.84,24573.04,April 16 2018,"Monday, 2018-04-16",16-Apr-18,4/16/2018,21.54,2656.3,0.810902383,3 days,3,212.9,24360.14,0.873968705
4/17/2018,2706.39,24786.63,April 17 2018,"Tuesday, 2018-04-17",17-Apr-18,4/17/2018,28.55,2677.84,1.066157799,1 days,1,213.59,24573.04,0.869204624
4/18/2018,2708.64,24748.07,April 18 2018,"Wednesday, 2018-04-18",18-Apr-18,4/18/2018,2.25,2706.39,0.083136577,1 days,1,-38.56,24786.63,-0.15556774
4/19/2018,2693.13,24664.89,April 19 2018,"Thursday, 2018-04-19",19-Apr-18,4/19/2018,-15.51,2708.64,-0.572612086,1 days,1,-83.18,24748.07,-0.336107018
4/20/2018,2670.14,24462.94,April 20 2018,"Friday, 2018-04-20",20-Apr-18,4/20/2018,-22.99,2693.13,-0.853653556,1 days,1,-201.95,24664.89,-0.81877519
4/23/2018,2670.29,24448.69,April 23 2018,"Monday, 2018-04-23",23-Apr-18,4/23/2018,0.15,2670.14,0.005617683,3 days,3,-14.25,24462.94,-0.058251379
